Timestamp,City,Latitude,Longitude,Weather,Road_Condition,Fatalities,Serious_Injuries,Minor_Injuries,Risk_Score
2024-02-12 16:00:00,Pune,18.479195228457428,73.9415072041852,Clear,Dry,0,1,8,11
2024-07-11 21:00:00,Delhi,28.692443485964585,77.12214399791299,Rainy,Wet,0,0,2,2
2024-01-12 14:00:00,Mumbai,19.088341202190517,72.90776937353564,Clear,Dry,0,1,4,7
2024-08-29 01:00:00,Mumbai,19.192782881661053,72.87437884146948,Rainy,Wet,0,2,1,7
2024-02-28 16:00:00,Mumbai,19.046722844098458,72.94732212743912,Clear,Dry,0,1,1,4
2024-04-29 22:00:00,Mumbai,19.063481470234183,72.827416352886,Clear,Dry,0,0,2,2
2024-02-09 08:00:00,Bengaluru,12.903370113075203,77.56123741677419,Clear,Dry,0,0,2,2
2024-10-10 23:00:00,Pune,18.39454848931186,73.79168281811582,Clear,Dry,0,1,4,7
2024-02-07 20:00:00,Delhi,28.649807360274806,77.221872107161,Clear,Wet,0,0,2,2
2024-05-21 18:00:00,Hyderabad,17.386407189881457,78.36240321350888,Clear,Dry,0,1,1,4
2024-07-30 05:00:00,Delhi,28.57707503093911,77.21140766431114,Rainy,Potholes,0,1,3,6
2024-05-11 07:00:00,Pune,18.43555489932169,73.80658306291578,Clear,Dry,0,2,0,6
2024-03-04 13:00:00,Chennai,13.048715528888827,80.40095572825358,Clear,Dry,0,1,1,4
2024-07-17 19:00:00,Mumbai,19.00962687378188,72.794759788953,Rainy,Dry,0,1,2,5
2024-08-01 19:00:00,Mumbai,19.14422638146859,72.86117389830828,Rainy,Under Construction,0,1,3,6
2024-08-15 19:00:00,Hyderabad,17.330222103693586,78.56332311019474,Rainy,Potholes,0,0,2,2
2024-10-17 20:00:00,Hyderabad,17.428531142956206,78.38475648352865,Clear,Under Construction,0,2,2,8
2024-03-30 10:00:00,Bengaluru,12.925459729522514,77.51668894424733,Clear,Dry,0,1,5,8
2024-09-02 08:00:00,Pune,18.468181467810382,73.85581515767346,Clear,Wet,1,1,1,9
2024-02-28 09:00:00,Chennai,13.142335739693872,80.25010382151484,Clear,Wet,0,0,0,0
2024-12-02 02:00:00,Pune,18.465055656814872,73.87205696014797,Clear,Wet,0,1,2,5
2024-05-01 11:00:00,Chennai,13.10128257853847,80.29092169227121,Clear,Dry,0,1,1,4
2024-11-07 13:00:00,Pune,18.62560641797272,73.84476189427595,Clear,Under Construction,0,0,0,0
2024-03-23 03:00:00,Mumbai,19.04866054985161,72.83582552660891,Clear,Dry,0,0,3,3
2024-10-25 07:00:00,Bengaluru,12.948690993187785,77.62484027972559,Clear,Dry,0,1,3,6
2024-09-14 04:00:00,Chennai,13.0790363093985,80.19648262166798,Clear,Wet,0,0,2,2
2024-07-11 14:00:00,Delhi,28.763792127979055,77.15984840251964,Rainy,Dry,1,0,4,9
2024-04-02 04:00:00,Bengaluru,12.964692080728176,77.53717677354362,Clear,Under Construction,0,0,5,5
2024-05-24 13:00:00,Mumbai,19.158404445118947,72.89588016052289,Clear,Under Construction,0,1,4,7
2024-10-21 07:00:00,Delhi,28.4979926336954,77.23292578647376,Clear,Dry,0,2,3,9
2024-02-12 20:00:00,Mumbai,19.038687447907478,72.88687587038181,Clear,Dry,0,0,2,2
2024-10-11 05:00:00,Chennai,13.127510999453573,80.30799451653817,Clear,Dry,1,0,1,6
2024-09-10 02:00:00,Hyderabad,17.266497610559316,78.48344091399382,Clear,Dry,0,0,3,3
2024-07-17 14:00:00,Hyderabad,17.171700608007317,78.48100130512795,Rainy,Dry,0,1,1,4
2024-04-28 22:00:00,Bengaluru,12.925965524517892,77.59859790280247,Clear,Wet,0,0,3,3
2024-08-22 12:00:00,Chennai,12.985239226550158,80.2929915307971,Rainy,Dry,0,0,0,0
2024-10-24 08:00:00,Hyderabad,17.280286371689307,78.48082733271468,Clear,Dry,0,1,1,4
2024-12-10 14:00:00,Pune,18.55215116427265,73.98241153236853,Clear,Dry,0,1,0,3
2024-12-03 03:00:00,Mumbai,18.97932004189892,72.86812443921289,Clear,Dry,0,0,3,3
2024-11-11 10:00:00,Delhi,28.739935478590024,77.1165780067531,Clear,Dry,0,0,3,3
2024-01-08 09:00:00,Hyderabad,17.4562178903203,78.44687606635632,Clear,Dry,0,1,1,4
2024-03-10 21:00:00,Chennai,13.064872890531202,80.27176693647561,Clear,Dry,0,1,2,5
2024-06-09 21:00:00,Mumbai,19.18527442239519,72.8367959752537,Rainy,Dry,0,0,6,6
2024-11-09 09:00:00,Pune,18.559437093036255,73.76402942589067,Clear,Potholes,0,0,1,1
2024-08-22 14:00:00,Bengaluru,12.893552902587736,77.54001260141968,Rainy,Wet,0,0,0,0
2024-08-15 10:00:00,Hyderabad,17.46791208948419,78.51924461706982,Rainy,Dry,0,0,1,1
2024-04-30 21:00:00,Mumbai,19.13387144624169,72.83070867469836,Clear,Wet,0,0,4,4
2024-02-11 01:00:00,Mumbai,19.02770065700442,72.91263913518664,Clear,Under Construction,0,2,2,8
2024-02-06 20:00:00,Bengaluru,13.016775308153562,77.53947708392268,Clear,Dry,0,1,0,3
2024-08-22 19:00:00,Bengaluru,12.93881396140721,77.51762141206625,Rainy,Dry,0,1,2,5
2024-10-22 10:00:00,Chennai,12.946702958378062,80.2515139843341,Clear,Dry,0,1,0,3
2024-10-09 03:00:00,Delhi,28.66824367349793,77.2668540433155,Clear,Under Construction,0,3,6,15
2024-12-09 01:00:00,Chennai,13.101272306016313,80.26099724558291,Clear,Potholes,0,2,0,6
2024-09-19 11:00:00,Mumbai,19.122271130553756,72.86183813468287,Clear,Dry,0,0,1,1
2024-11-28 08:00:00,Pune,18.44395469680132,73.75665955119767,Clear,Dry,0,2,3,9
2024-11-03 19:00:00,Mumbai,19.13823346984394,72.92402659903532,Clear,Dry,0,0,3,3
2024-10-21 18:00:00,Pune,18.632802280023597,73.81942679920427,Clear,Dry,0,0,1,1
2024-11-09 13:00:00,Mumbai,19.075370271989577,72.85447387850844,Clear,Under Construction,1,0,3,8
2024-09-14 14:00:00,Delhi,28.629873414571243,77.21072798310175,Clear,Wet,1,0,2,7
2024-07-13 11:00:00,Bengaluru,12.78296839666563,77.50277865154897,Rainy,Dry,0,1,2,5
2024-04-18 09:00:00,Mumbai,19.136942894370907,72.87395271444488,Clear,Dry,0,1,1,4
2024-05-25 20:00:00,Bengaluru,12.861984666849771,77.66011467181832,Clear,Dry,1,1,4,12
2024-08-08 10:00:00,Chennai,13.138665099013211,80.20013468788127,Rainy,Dry,0,0,1,1
2024-04-19 05:00:00,Pune,18.57826986889131,73.90011930240537,Clear,Dry,0,1,2,5
2024-03-27 12:00:00,Mumbai,19.068060019717933,72.76210589080827,Clear,Dry,0,0,3,3
2024-02-27 18:00:00,Hyderabad,17.282094281741404,78.4190194378208,Clear,Dry,1,0,3,8
2024-10-14 19:00:00,Pune,18.586687305488013,73.89922902879515,Clear,Under Construction,0,1,1,4
2024-08-21 03:00:00,Chennai,13.212150194481795,80.2429727590042,Rainy,Dry,0,1,0,3
2024-12-06 12:00:00,Hyderabad,17.49906172276545,78.45895134730118,Clear,Dry,0,0,1,1
2024-01-03 02:00:00,Hyderabad,17.405619459990746,78.53642015078967,Clear,Under Construction,0,0,3,3
2024-03-25 13:00:00,Hyderabad,17.43574019340182,78.3913334128763,Clear,Dry,0,0,4,4
2024-02-15 16:00:00,Pune,18.34747615467992,73.90744211262698,Clear,Dry,1,1,0,8
2024-05-23 11:00:00,Hyderabad,17.404520157034003,78.53093124627793,Clear,Dry,0,2,3,9
2024-02-16 20:00:00,Mumbai,19.011794211162098,72.78389997296107,Clear,Dry,0,1,1,4
2024-07-06 23:00:00,Pune,18.572540296014033,73.71037629682992,Rainy,Dry,0,2,1,7
2024-09-11 03:00:00,Bengaluru,12.960065690318975,77.57095865519852,Clear,Wet,0,3,5,14
2024-10-05 12:00:00,Bengaluru,12.90249930381646,77.76400479030589,Clear,Dry,0,0,2,2
2024-08-09 20:00:00,Chennai,13.203241010792013,80.37690163965009,Rainy,Dry,0,1,3,6
2024-07-21 15:00:00,Pune,18.46782308616485,73.92598893546577,Rainy,Dry,0,1,1,4
2024-12-09 02:00:00,Mumbai,19.12440386312002,72.91717788634578,Clear,Dry,1,0,5,10
2024-02-07 06:00:00,Chennai,13.020127423431722,80.32605399992036,Clear,Dry,0,1,1,4
2024-04-29 02:00:00,Hyderabad,17.44704609477592,78.49857622298543,Clear,Wet,0,0,1,1
2024-04-29 08:00:00,Bengaluru,12.847402432956839,77.48230760520084,Clear,Dry,0,0,1,1
2024-01-20 15:00:00,Pune,18.333760775672822,73.73337567024073,Clear,Potholes,0,0,2,2
2024-03-19 07:00:00,Hyderabad,17.451875369865647,78.3379083385476,Clear,Dry,1,0,3,8
2024-08-13 15:00:00,Delhi,28.707853145638648,77.27617254466806,Rainy,Dry,0,1,1,4
2024-10-22 07:00:00,Mumbai,19.062373625113548,72.84723845326798,Clear,Wet,0,0,6,6
2024-10-24 22:00:00,Chennai,13.256325747348251,80.31013681108278,Clear,Dry,0,2,2,8
2024-03-22 13:00:00,Chennai,13.131283878757875,80.39274642229634,Clear,Dry,0,2,2,8
2024-11-03 01:00:00,Bengaluru,13.028365080461748,77.53500801371567,Clear,Under Construction,0,2,3,9
2024-06-05 12:00:00,Pune,18.463581052720627,73.8651593854472,Rainy,Dry,0,2,3,9
2024-01-19 05:00:00,Hyderabad,17.386504889468696,78.51876519188792,Clear,Dry,0,1,0,3
2024-06-17 23:00:00,Mumbai,19.139072967943676,72.94956867851857,Rainy,Wet,0,0,1,1
2024-12-16 01:00:00,Bengaluru,12.928266781978662,77.57699641835704,Clear,Potholes,1,1,4,12
2024-11-04 07:00:00,Delhi,28.634291173683685,77.1130292636772,Clear,Wet,0,1,8,11
2024-04-14 14:00:00,Pune,18.51232751164209,73.77759743487044,Clear,Dry,0,1,0,3
2024-04-16 06:00:00,Mumbai,19.16456108115206,72.94653862971273,Clear,Wet,0,0,2,2
2024-06-05 14:00:00,Bengaluru,12.939495890550058,77.70983640701596,Rainy,Dry,1,1,1,9
2024-01-30 14:00:00,Hyderabad,17.331855828178448,78.38418820459809,Clear,Dry,0,1,3,6
2024-08-14 02:00:00,Chennai,13.010076111358941,80.30023957316858,Rainy,Dry,0,1,1,4
2024-04-02 19:00:00,Delhi,28.679003754965468,77.2032587279497,Clear,Dry,0,0,5,5
2024-12-08 10:00:00,Chennai,13.188103581702546,80.2194435594886,Clear,Wet,0,1,1,4
2024-09-14 01:00:00,Chennai,13.004251002117769,80.22278542612551,Clear,Wet,0,0,2,2
2024-06-26 16:00:00,Mumbai,19.218966043399572,72.80710815813858,Rainy,Dry,1,2,3,14
2024-09-09 10:00:00,Mumbai,19.128457178146064,72.81861074483581,Clear,Dry,0,0,0,0
2024-07-18 11:00:00,Hyderabad,17.441845434856425,78.52556220020048,Rainy,Wet,1,1,1,9
2024-04-22 13:00:00,Pune,18.493865715735872,73.8481068829892,Clear,Dry,0,0,0,0
2024-08-07 17:00:00,Chennai,13.078660190547303,80.32423455641509,Rainy,Dry,0,0,2,2
2024-01-14 03:00:00,Bengaluru,12.987199522042413,77.61928490053488,Clear,Wet,0,2,1,7
2024-01-26 02:00:00,Chennai,13.138198214219932,80.26989169120893,Clear,Dry,0,0,0,0
2024-06-08 11:00:00,Chennai,13.04998698044853,80.11132847773199,Rainy,Dry,0,1,2,5
2024-11-01 12:00:00,Hyderabad,17.33332655735611,78.3992483079194,Clear,Wet,0,0,1,1
2024-08-21 00:00:00,Delhi,28.6300780204516,77.20663867908065,Rainy,Potholes,0,1,3,6
2024-10-10 13:00:00,Bengaluru,13.013764081424176,77.59397595311391,Clear,Dry,0,0,1,1
2024-05-28 10:00:00,Bengaluru,12.978327441988686,77.48846089488586,Clear,Dry,0,1,2,5
2024-03-30 08:00:00,Chennai,12.9909194485021,80.17130527070645,Clear,Dry,0,1,3,6
2024-10-08 16:00:00,Hyderabad,17.364758809772674,78.42232056928172,Clear,Dry,0,1,0,3
2024-09-11 05:00:00,Chennai,12.989001196664047,80.2533818187954,Clear,Dry,0,0,4,4
2024-11-01 23:00:00,Pune,18.55846931622763,73.90289541202596,Clear,Dry,0,0,1,1
2024-07-18 13:00:00,Chennai,13.044093192189685,80.31153949750147,Rainy,Dry,0,2,6,12
2024-10-07 23:00:00,Chennai,12.947695423050591,80.23204469785007,Clear,Wet,0,0,1,1
2024-07-04 17:00:00,Mumbai,19.06842213697168,72.8109831375408,Rainy,Potholes,0,1,1,4
2024-02-15 05:00:00,Mumbai,19.003411198623944,72.91516022085389,Clear,Wet,0,1,1,4
2024-07-07 13:00:00,Hyderabad,17.371236773727226,78.40409490594176,Rainy,Under Construction,0,2,2,8
2024-11-30 16:00:00,Delhi,28.6059334580675,77.14218426244204,Clear,Dry,0,1,1,4
2024-02-20 09:00:00,Mumbai,19.066839555687935,72.89853440781454,Clear,Wet,0,1,3,6
2024-04-17 23:00:00,Hyderabad,17.322038377174465,78.50207106571082,Clear,Dry,0,0,1,1
2024-09-23 10:00:00,Pune,18.542987657803703,73.94112993222645,Clear,Dry,0,0,1,1
2024-08-27 19:00:00,Delhi,28.62849933681315,77.22691855598083,Rainy,Wet,0,0,5,5
2024-04-07 16:00:00,Mumbai,19.10029158877176,72.85828540665159,Clear,Dry,0,0,0,0
2024-02-05 20:00:00,Chennai,13.09375802097764,80.22140986692463,Clear,Dry,0,2,1,7
2024-01-29 14:00:00,Bengaluru,13.003597540272606,77.74615402679166,Clear,Dry,0,1,2,5
2024-07-26 11:00:00,Pune,18.467966914606446,73.86401085737576,Rainy,Dry,0,0,2,2
2024-09-28 06:00:00,Delhi,28.53872347803376,77.32220651230658,Clear,Dry,1,1,1,9
2024-05-02 21:00:00,Mumbai,19.240186480835487,72.80766766829954,Clear,Dry,0,0,5,5
2024-05-18 12:00:00,Chennai,13.008655008834893,80.36201813127171,Clear,Wet,0,0,0,0
2024-08-15 15:00:00,Hyderabad,17.405972467687157,78.39200797587395,Rainy,Potholes,0,0,3,3
2024-03-30 04:00:00,Delhi,28.612090196267214,77.0905077271315,Clear,Dry,0,1,2,5
2024-05-20 15:00:00,Bengaluru,12.945890406392499,77.45895344053895,Clear,Under Construction,1,2,2,13
2024-06-25 18:00:00,Chennai,13.148222764450011,80.23247910568428,Rainy,Dry,0,1,4,7
2024-08-24 03:00:00,Pune,18.570128655583208,73.74224793019103,Rainy,Dry,0,0,2,2
2024-01-31 22:00:00,Bengaluru,13.03061611353294,77.62836013440881,Clear,Dry,0,2,8,14
2024-01-25 00:00:00,Bengaluru,12.866593783020594,77.53573561698045,Clear,Dry,0,2,2,8
2024-06-11 22:00:00,Chennai,13.114382426076865,80.2230715057661,Rainy,Dry,1,0,1,6
2024-12-22 04:00:00,Mumbai,19.14221923637952,72.8693486150305,Clear,Wet,0,0,2,2
2024-06-25 09:00:00,Delhi,28.482004309638413,77.10169325537207,Rainy,Dry,0,0,3,3
2024-05-12 19:00:00,Chennai,13.017898293914083,80.12033923293052,Clear,Under Construction,0,0,2,2
2024-05-06 21:00:00,Bengaluru,13.037696150893089,77.6920983387643,Clear,Dry,0,0,5,5
2024-04-04 03:00:00,Chennai,13.09429772072116,80.33750037410177,Clear,Dry,1,1,0,8
2024-08-20 21:00:00,Bengaluru,12.958091337133112,77.57833682424318,Rainy,Dry,0,0,1,1
2024-04-25 11:00:00,Bengaluru,12.915124962386788,77.5924267034149,Clear,Potholes,0,1,2,5
2024-12-02 06:00:00,Pune,18.435561758771925,73.75346537131755,Clear,Wet,0,2,1,7
2024-04-27 20:00:00,Chennai,13.113632636017488,80.10856614652272,Clear,Under Construction,0,0,2,2
2024-09-17 01:00:00,Pune,18.590738763951528,73.80683253814061,Clear,Under Construction,0,0,2,2
2024-04-18 05:00:00,Hyderabad,17.44565530590071,78.41856276515685,Clear,Dry,0,0,1,1
2024-04-05 21:00:00,Chennai,13.026120087821445,80.2244317714999,Clear,Dry,0,0,1,1
2024-09-24 17:00:00,Hyderabad,17.406416484711514,78.46383368176289,Clear,Dry,0,0,3,3
2024-11-17 04:00:00,Hyderabad,17.460167023117837,78.4889994326349,Clear,Under Construction,0,0,2,2
2024-03-04 02:00:00,Pune,18.521598159152266,73.88424564320957,Clear,Under Construction,0,1,3,6
2024-09-29 23:00:00,Delhi,28.58142840564498,77.21153438695707,Clear,Dry,0,1,2,5
2024-12-18 11:00:00,Delhi,28.62172312168287,77.25948195347601,Foggy,Dry,0,2,4,10
2024-10-19 03:00:00,Chennai,13.234614550738385,80.10490818872346,Clear,Dry,0,1,3,6
2024-05-15 05:00:00,Chennai,13.276747525380848,80.19084930868998,Clear,Under Construction,0,0,0,0
2024-02-22 09:00:00,Mumbai,18.997023685262494,72.91085250477606,Clear,Wet,0,0,2,2
2024-11-17 23:00:00,Delhi,28.584874745578716,77.26919044542868,Clear,Dry,1,0,1,6
2024-01-26 11:00:00,Hyderabad,17.41898335596592,78.58642443349154,Clear,Potholes,0,1,2,5
2024-06-26 02:00:00,Hyderabad,17.338340008042856,78.44990938984172,Rainy,Dry,0,1,2,5
2024-01-09 12:00:00,Bengaluru,13.051452598460449,77.62918419158004,Clear,Under Construction,0,0,2,2
2024-12-23 18:00:00,Hyderabad,17.420439351565335,78.57235751206343,Clear,Potholes,0,0,0,0
2024-08-07 05:00:00,Mumbai,19.03254142648517,72.87436034178494,Rainy,Under Construction,0,1,3,6
2024-04-30 15:00:00,Chennai,13.039265561127449,80.46394762166247,Clear,Dry,0,0,3,3
2024-09-20 02:00:00,Mumbai,19.055778730262933,72.81684615717454,Clear,Under Construction,0,1,4,7
2024-10-16 08:00:00,Mumbai,18.93988954795215,72.81102140581812,Clear,Wet,0,0,2,2
2024-10-23 13:00:00,Chennai,13.267967256349966,80.44421706890763,Clear,Under Construction,0,1,2,5
2024-09-23 15:00:00,Delhi,28.560695092161048,77.09096761558179,Clear,Wet,0,0,2,2
2024-10-30 15:00:00,Pune,18.472928613352313,73.80895019936104,Clear,Dry,0,2,1,7
2024-07-23 23:00:00,Pune,18.587006626123266,73.77449037264486,Rainy,Wet,0,1,1,4
2024-04-09 18:00:00,Mumbai,19.06862808673409,72.94376162166589,Clear,Dry,0,1,1,4
2024-09-16 21:00:00,Delhi,28.5287053348116,77.21081117142685,Clear,Dry,0,0,2,2
2024-06-23 11:00:00,Mumbai,19.095576744155387,72.8233336123466,Rainy,Dry,0,0,4,4
2024-12-13 09:00:00,Pune,18.502115310712213,73.84215292276573,Clear,Dry,0,2,1,7
2024-05-25 08:00:00,Bengaluru,12.858827629928255,77.61133170167696,Clear,Wet,0,1,0,3
2024-12-28 04:00:00,Hyderabad,17.458618957541752,78.5125852980587,Clear,Potholes,1,0,2,7
2024-04-01 23:00:00,Chennai,12.995701527108078,80.19009047463918,Clear,Dry,0,0,5,5
2024-02-05 10:00:00,Chennai,13.027833485069824,80.32371127828173,Clear,Potholes,0,0,3,3
2024-01-21 17:00:00,Delhi,28.64857730985993,77.1276563677528,Foggy,Potholes,0,2,2,8
2024-12-25 17:00:00,Pune,18.390998944198646,73.85399606463812,Clear,Wet,0,0,4,4
2024-02-14 07:00:00,Delhi,28.75790110056539,77.22874334554504,Clear,Wet,0,2,1,7
2024-02-15 10:00:00,Chennai,12.981684899417365,80.34172312711986,Clear,Dry,0,1,0,3
2024-03-18 10:00:00,Bengaluru,12.897754998919218,77.55724879047126,Clear,Dry,0,1,1,4
2024-03-25 08:00:00,Hyderabad,17.5161432983342,78.61752201121928,Clear,Dry,0,0,2,2
2024-02-06 15:00:00,Delhi,28.636900198960724,77.12961993609375,Clear,Wet,0,2,2,8
2024-01-26 22:00:00,Pune,18.402187370689578,73.91962065240625,Clear,Under Construction,1,0,3,8
2024-04-01 19:00:00,Chennai,13.060584458576507,80.21812148314623,Clear,Wet,0,0,6,6
2024-06-08 07:00:00,Delhi,28.705552263874875,77.25050775774561,Rainy,Dry,0,2,0,6
2024-05-02 14:00:00,Hyderabad,17.378711907185604,78.36158228778606,Clear,Dry,0,0,1,1
2024-07-30 18:00:00,Chennai,13.134927970939648,80.36669762150724,Rainy,Wet,0,0,3,3
2024-08-23 23:00:00,Hyderabad,17.49360147702757,78.58210525782673,Rainy,Under Construction,0,1,2,5
2024-01-26 03:00:00,Chennai,13.25657981218567,80.21948597959612,Clear,Dry,0,0,2,2
2024-12-14 20:00:00,Delhi,28.57522148431455,77.20424319644073,Foggy,Dry,0,1,3,6
2024-03-12 06:00:00,Chennai,13.04391689490757,80.29728982907655,Clear,Dry,0,0,2,2
2024-12-23 03:00:00,Mumbai,19.332904561059546,72.93362250744387,Clear,Dry,0,1,6,9
2024-06-06 18:00:00,Hyderabad,17.306502565654533,78.50446903524892,Rainy,Wet,0,0,1,1
2024-06-13 20:00:00,Hyderabad,17.436257249645507,78.45352544143141,Rainy,Under Construction,0,0,0,0
2024-04-15 04:00:00,Delhi,28.650683993142085,77.12883469176545,Clear,Dry,0,3,1,10
2024-05-14 05:00:00,Delhi,28.509598121639716,77.2769428443337,Clear,Wet,1,0,4,9
2024-11-24 09:00:00,Delhi,28.739128886438646,77.24599279592762,Clear,Dry,0,1,6,9
2024-12-29 11:00:00,Hyderabad,17.35175832665134,78.40321375213102,Clear,Dry,0,0,3,3
2024-04-02 03:00:00,Chennai,13.20596574599725,80.26446168047347,Clear,Dry,0,0,0,0
2024-03-30 08:00:00,Chennai,13.1898325572061,80.34227733399669,Clear,Under Construction,0,1,1,4
2024-04-29 09:00:00,Pune,18.38603021723566,74.02761132318628,Clear,Dry,1,2,0,11
2024-07-27 14:00:00,Chennai,13.219398995818288,80.34151036270043,Rainy,Dry,0,1,0,3
2024-07-01 01:00:00,Delhi,28.612626507389276,77.26748303711108,Rainy,Dry,0,2,3,9
2024-02-07 13:00:00,Bengaluru,13.06440644900993,77.63337615336367,Clear,Dry,0,1,4,7
2024-06-10 07:00:00,Bengaluru,12.938542942148274,77.70636457720592,Rainy,Dry,0,2,1,7
2024-10-31 06:00:00,Chennai,13.237391775203038,80.3999574029423,Clear,Dry,0,0,1,1
2024-01-18 03:00:00,Hyderabad,17.404080677966082,78.5761287485936,Clear,Dry,0,0,2,2
2024-01-08 06:00:00,Chennai,13.188757766064969,80.29171809723864,Clear,Wet,0,2,2,8
2024-09-25 10:00:00,Delhi,28.66548662733591,77.19628111430134,Clear,Dry,0,0,3,3
2024-11-03 11:00:00,Chennai,13.079420287869809,80.22997006444473,Clear,Dry,0,0,2,2
2024-05-09 15:00:00,Delhi,28.67333409091435,77.36395010113634,Clear,Dry,0,0,4,4
2024-04-03 20:00:00,Mumbai,19.055080448161537,72.86218093826443,Clear,Wet,0,2,4,10
2024-12-22 06:00:00,Mumbai,19.048213941422528,72.87569162957227,Clear,Dry,0,3,2,11
2024-07-18 17:00:00,Hyderabad,17.383677908314947,78.44998750456945,Rainy,Dry,1,0,3,8
2024-04-25 14:00:00,Chennai,13.041809004866417,80.38242045532112,Clear,Wet,0,2,3,9
2024-10-19 22:00:00,Mumbai,18.984466233279306,72.75316811406634,Clear,Potholes,0,2,1,7
2024-08-09 09:00:00,Chennai,13.197433360985945,80.32401752971819,Rainy,Under Construction,0,2,4,10
2024-05-16 14:00:00,Bengaluru,12.992165920521405,77.4369278557964,Clear,Dry,0,1,4,7
2024-09-03 12:00:00,Bengaluru,12.870518896599263,77.6613577544489,Clear,Under Construction,0,0,3,3
2024-01-03 03:00:00,Hyderabad,17.3132862101349,78.63595588311347,Clear,Wet,0,0,2,2
